frowning,fraʊnɪɳ
irrational number,ɪræʃʌnælnʌmbɜ
streaming,strimɪɳ
leisured,lizɜd
bobby,bɑbi
marmalade plum,mɑrmʌleɪdplʌm
cram full,kræmfʌl
nitella,nɪtɛlʌ
heave,hiv
empty-bellied,ɛmptibɛlid
absolvitory,ʌbzɑlvɪtɔri
civil order,sɪvʌlɔrdɜ
regression toward the mean,rʌgrɛʃʌntuɔrdθɪmin
quitclaim,kwɪtkleɪm
pisces,paɪsiz
ringworm cassia,rɪɳwɜmkæʃiʌ
genus mikania,dʒɛnjʌsmʌkɑniʌ
memory picture,mɛmɜipɪktʃɜ
hopi,hoʊpi
haredi,hɑrɛdi
hops,hɑps
catty,kæti
disseminator,dɪsɛmʌneɪtɜ
erythronium,ɛrɪθroʊniʌm
indocin,ɪndɑsʌn
japanese leek,dʒæpʌnizlik
topical,tɑpʌkʌl
hex nut,hɛksnʌt
bang out,bæɳaʊt
saccharomycetaceae,sækɜoʊmaɪsɪteɪʃʌ
hoth,hɑθ
iraqi,ɪræki
personhood,pɜsɑnhʊd
john updike,dʒɑnʌpdaɪk
hareem,hɜim
heath,hiθ
dwarf sperm whale,dwɔrfspɜmweɪl
bradawl,brædɔl
roccella,roʊtʃɛlʌ
delaware,dɛlʌwɛr
wire grass,waɪrgræs
host,hoʊst
spate,speɪt
sea duck,sidʌk
reykjavik,rɛkjʌvɪk
apocynum androsaemifolium,ʌpɑkinʌmʌndroʊzeɪmʌfoʊliʌm
mountain blacksnake,maʊntɪnblæksnʌk
hose,hoʊz
seal oil,silɔɪl
heart,hɑrt
polish notation,pɑlɪʃnoʊteɪʃʌn
abrade,æbreɪd
horn,hɔrn
leaning,linɪɳ
contumacious,kʌntumæʃɪs
botulism,bɑtʃulɪzʌm
concoction,kʌnkɑkʃʌn
rose chestnut,roʊzktʃɛsnʌt
genus lagorchestes,dʒinʌslʌgɔrkʌsts
maulstick,mɔlstɪk
policyholder,pɑlʌsihoʊldɜ
fabricator,fæbrɪkeɪtɜ
dacrydium cupressinum,dækraɪdiʌmkjuprɛʃnʌm
symposiast,sɪmpoʊziæst
genus miltonia,dʒɛnjʌsmʌltoʊnjʌ
hollerith,hɑlɜɪθ
disulfiram,dɪsʌlfaɪrʌm
hunky-dory,hʌɳkidɔri
culver's root,kʌlvɜzrut
driftwood,drɪftwʊd
wood-fern,wʊdfɜn
peculiar velocity,pɪkjuljɜvʌlɑsʌti
salability,sælʌbɪlɪti
space needle,speɪsʌnidʌl
hour,aʊr
suasion,sweɪʒʌn
hypersensitized,haɪpɜsɛnsʌtaɪzd
straight flute,streɪtflut
heard,hɜd
hasheesh,hʌʃiʃ
explosive detection system,ɪksploʊsɪvdɪtɛkʃʌnsɪstʌm
opening move,oʊpʌnɪɳmuv
israel zangwill,ɪzrʌlzɑɳgwɪl
one hundred ninety,wʌnɛhʌndrʌdnaɪnti
order hymenoptera,ɔrdɜhaɪmʌnɑptɜʌ
soup-strainer,supstreɪnɜ
qing,kɪɳ
reddish-pink,rɛdɪʃpɪɳk
sought,sɔt
gershwin,gɜʃwɪn
heaps,hips
irani,ɪrɑni
semitransparent,sɛmitrænspɛrʌnt
spawl,spɔl
overcompensation,oʊvɜkɑmpʌnseɪʃʌn
spawn,spɑn
machaeranthera bigelovii,mʌtʃɑɜɑnθɜʌbɪgʌloʊvi
rastafarian,ræstʌfɑriʌn
traffic court,træfɪkkɔrt
straight flush,streɪtflʌʃ
fence,fɛns
trepan,trɛpʌn
sailboat,seɪlboʊt
denunciative,dɪnʌnsieɪtɪv
ruthlessly,ruθlʌsli
colymbiformes,kʌlɪmbʌfɔrmz
negative identification,nɛgʌtɪvʌdɛntʌfʌkeɪʃʌn
showman,ʃoʊmʌn
centaurea moschata,sɛntɔrimɔʃætʌ
intentional,ɪntɛnʃʌnʌl
abocclusion,eɪbʌkluʒʌn
edifying,ɛdʌfaɪɪɳ
hilliness,hɪlinʌs
belt-fed,bɛltfɛd
workhorse,wɜkhɔrs
panhandler,pænhændlɜ
adventitious,ædvɛntɪʃʌs
ongoing,ɑngoʊɪɳ
yttrium,ɪtriʌm
election day,ɪlɛkʃʌndeɪ
magnesium oxide,mægniziʌmɑksaɪd
mineral extraction,mɪnɜʌlɛkstrækʃʌn
scrutin de liste,skrutʌndɛlisti
acid anhydrides,æsʌdænhaɪdrɪdz
genus charadrius,dʒɛnjʌskærʌdriʌs
wasteyard,weɪstjɑrd
lubber's line,lʌbɜɪslaɪn
syngnathus hildebrandi,sɪɳgnʌθʌʃɪldɪbrændi
bombastic,bɑmbæstɪk
ralph ellison,rælfɪlɪsʌn
decriminalise,dikrɪmʌnʌlaɪz
boston bull,bɔstʌnbʊl
boys-and-girls,bɔɪsændgɜlz
worshiper,wɜʃʌpɜ
howe,haʊ
charles francois gounod,tʃɑrlzfrʌnkwɑgunʌd
howl,haʊl
mexican pocket mouse,mɛksɪkænpɑkʌtmaʊs
monastic order,mʌnæstɪkɔrdɜ
early childhood,ɜlaɪtʃaɪldhʊd
caulk,kɑk
zaman,zeɪmʌn
complementary medicine,kɑmplʌmɛntrimɛdʌsʌn
greater prairie chicken,greɪtɜprɛritʃɪkʌn
loosely knit,lusʌlʌnɪt
boston tea party,bɑstɔntiʌpɑrti
awestruck,ɑstrʌk
mucopurulent,mjukoʊpjʊrulʌnt
rappahannock river,ræpʌhænʌkraɪvɜ
calumnious,kʌlʌmniʌs
infectious,ɪnfɛkʃʌs
chemistry department,kɛmʌstridɪpɑrtmʌnt
marketing cost,mɑrkʌtɪɳkoʊst
lipogram,lɪpʌgræm
chrisom,krɪsʌm
genus amberboa,dʒɛnjʌsæmbɜboʊʌ
genus filago,dʒɛnjʌsfaɪlʌgoʊ
conic morel,kɑnʌkmɔrʌl
squash court,skwɑʃkɔrt
gand flower,gændflaʊɜ
indian rosewood,ɪndiænroʊzwʊd
international society for krishna consciousness,ɪntɜnæʃʌnʌlsʌsaɪʌtifɔrkrɪʃnʌkɑnʃʌsnʌs
bachelor of science,bætʃlɜɑfsaɪʌns
closed circuit,kloʊzdsɜkʌt
coition,kɔɪʃʌn
flight attendant,flaɪtʌtɛndʌnt
eschscholtzia californica,ɛʃʃhoʊltziʌkælʌfɔrnɪkʌ
uraemia,ɜimiʌ
sweat equity,swɛtʌkwʌti
uraemic,jurʌmɪk
repine,rɛpini
fight off,faɪtɔf
bean curd,binkɜd
catatonia,kætʌtoʊniʌ
rankine,ræɳkaɪn
ranking,ræɳkɪɳ
catatonic,kætʌtɑnɪk
lacustrine,lækjustrin
asura,ɑsʊrʌ
hoya,hɔɪʌ
promiscuously,proʊmɪskwʌsli
half-price,hæfpraɪs
boundlessly,baʊndlʌsli
reputation,rɛpjʌteɪʃʌn
cercospora,tʃɜkoʊspɜʌ
chain gang,tʃeɪɳgʌɳ
tidewater stream,taɪdwɔtɜstrim
andrew marvell,ændrumɑrvʌl
first-year,fɜstjɪr
college of cardinals,kɑlɪdʒʌfkɑrdɪnʌlz
demonstrator,dɛmʌnstreɪtɜ
tavern,tævɜn
parasitic jaeger,pɛrʌsɪtɪkdʒeɪgɜ
enlisted officer,ɪnlɪstidɔfʌsɜ
mandevilla laxa,mændʌvɪlʌlæksʌ
front matter,frʌntmʌtɜ
imbalanced,ɪmbælʌnst
retaliatory,ritæljʌtɔri
cheek muscle,tʃikmʌskʌl
ursus middendorffi,ɜsʌsmɪdʌndɔrfi
integral calculus,ɪntʌgrʌlkælkjʌlʌs
hunger,hʌɳgɜ
sellers' market,sɛlɜzmɑrkɪt
immediacy,ɪmidiʌsi
betty naomi friedan,bɛtinɑoʊmifridʌn
pouch-shaped,puʃʃeɪpt
ant cow,æntkaʊ
planchette,plʌnʃɛt
unlisted,ʌnlɪstɪd
pummelo,pʌmʌloʊ
misapprehension,mɪsæprihɛnʃʌn
multifarious,mʌltifɛriʌs
clothesbrush,kloʊðzbrʌʃ
seethe,sið
petty spurge,pɛtizpɜdʒ
auricular appendix,aʊrɪkjʌlɛrʌpɛndɪks
kaunas,kɔnʌz
internal control,ɪntɜnælkʌntroʊl
begging,bɛgɪɳ
mimosa pudica,mɪmoʊseɪpjudɪkʌ
update,ʌpdeɪt
crossword puzzle,krɔswɜdpʌzʌl
bath soap,bæθsoʊp
denunciation,dɪnʌnsieɪʃʌn
open-air market,oʊpʌnɛrmɑrkɪt
petrol tank,pɛtroʊltæɳk
czar peter i,zɑrpʌtɪri
bulimia,bjulɪmiʌ
bulimic,bjulɪmɪk
euphorbia corollata,jufɔrbiɑkɜɑlʌtʌ
family didelphidae,fæmʌlidɪdɛlfɪdeɪ
safety isle,seɪftiaɪʌl
low-keyed,loʊkid
anadenanthera,ænʌdinʌnθɛrʌ
adaptational,ʌdæpteɪʃʌnʌl
feline,filaɪn
oregon grape,ɔrʌgʌngreɪp
klaproth,klæprɔθ
buyout,baɪaʊt
cardholder,kɑrdhoʊldɜ
doll up,dɑlʌp
trepid,trɛpɪd
reedbird,riɛdbɜd
green bean,grinbiʌn
cerate,sɛrʌt
lattice,lætʌs
decriminalize,dikrɪmʌnʌlaɪz
board of regents,bɔrdɔfrɛdʒʌnts
curtiss,kɜtɪs
roseola infantum,roʊziʌleɪnfɑntʌm
syntactic category,sɪntæktɪkʌtʌgɔri
patronisingly,peɪtrʌnaɪzɪɳli
teaberry,tibɛri
pink-purple,pɪɳkpɜpʌl
kaunda,kɔndʌ
ornithogalum umbellatum,ɔrnɪθɑgʌlumʌmbʌleɪtʌm
mierkat,maɪɜkæt
cookie cutter,kʊkikʌtɜ
physical object,fɪzɪkælʌbdʒɛkt
planography,plʌnɑgrʌfi
misanthropical,mɪsʌnθrɑpɪkʌl
charronia,tʃɑroʊniʌ
chuck up the sponge,tʃʌkʌpθʌspɑndʒ
french pancake,frɛntʃpænkeɪk
riding light,raɪdɪɳlaɪt
valproic acid,vælproʊɪkæsʌd
chrysophrys,krɪsɑfriz
chinese shan,tʃaɪnizʃʌn
cauda,kɑdʌ
grilling,grɪlɪɳ
rabidity,ræbɪdʌti
ceremonial occasion,sɛrʌmoʊniʌloʊkeɪʒʌn
lady of the house,leɪdiɑfθhaʊs
aralia nudicaulis,ʌreɪljʌnudʌkʌlɪs
pale-faced,pælʌfeɪst
eleanor of aquitaine,ɛlʌnɔroʊfækwɪteɪn
spain,speɪn
accumbent,ʌkʌmbʌnt
perfect tense,pɜfɪkttɛns
compressible,kʌmprɛsʌbʌl
phylum pyrrophyta,faɪlʌmpaɪrɜfaɪtʌ
washingtonian,wɑʃɪɳtoʊniʌn
irksome,ɜksʌm
antrozous pallidus,æntrʌzɔspælɪdɪs
schizaeaceae,ʃɪziʌseɪɑ
club moss,klʌbmɔs
basketry,bæskʌtri
tilletia foetida,tɪliʃʌfoʊtidʌ
doctrinally,dɑktrʌnʌli
red mullet,rɛdmʌlʌt
new-mown,numoʊn
overconfident,oʊvɜkɑnfɪdʌnt
glottal plosive,glɑtʌlploʊsɪv
quadruplet,kwɑdruplʌt
quadruplex,kwɑdruplɛks
zamia,zeɪmiʌ
demonstrated,dɛmʌnstreɪtɪd
castanea sativa,kɑstɑnɛzʌtivʌ
myrtaceous tree,mɜteɪʃʌstri
oxygen mask,ɑksʌdʒʌnmæsk
prim up,praɪmʌp
thornbill,θɔrnbɪl
krasner,kræsnɜ
rowing club,roʊɪɳklʌb
family anabantidae,fæmʌljɑnɑbʌntɪdeɪ
bedroom furniture,bɛdrumfɜnɪtʃɜ
sawyer beetle,sɔjɜbitʌl
virginian sumac,vɜdʒɪnjʌnzumæk
binuclear,bɪnukliɜ
renata tebaldi,rʌnɑtɑtʌbɑldi
anonymous,ʌnɑnʌmʌs
genus carduelis,dʒɛnjʌskɑrdulɪs
course session,kɔrsɪsɛʃʌn
hebei,hibi
abbot,æbʌt
genus amia,dʒɛnjʌseɪmiʌ
high-spiritedness,haɪspɪrɪtɪdnʌs
heavenly city,hɛvʌnlaɪsɪti
dicarboxylic,dɪkɑrbɔksɪlɪk
genus saimiri,dʒɛnjʌseɪmiri
cliffhanger,klɪfhæɳɜ
ileocecal valve,ɪliʌsɛkɑlvælv
hot dog,hɑtdɔg
shimmy,ʃɪmi
terabit,tɛrʌbɪt
space,speɪs
spacy,speɪsi
european blackbird,jʊrʌpiʌnblækbɜd
ogalala,oʊgɑlɑlʌ
luzon,luzɑn
epigram,ɛpʌgræm
morrigan,mɔrɪgʌn
depart,dɪpɑrt
polyneuritic psychosis,pɑlɪnurɪtɪkpsaɪkoʊsʌs
pseudobombax,sudʌbʌmbæks
order fagales,ɔrdɜfʌgɑlɛs
oriental bittersweet,ɔriɛntælbɪtɜswit
circuitous,sɜkjuɪtʌs
class bryopsida,klæsbriɑpsaɪdʌ
commitment,kʌmɪtmʌnt
fading,feɪdɪɳ
spade,speɪd
jocular,dʒɑkjʌlɜ
unembodied,ʌnɪmbɑdid
seedpod,sidpɑd
s-shaped,sʃeɪpt
solicitorship,sʌlɪsʌtɜʃɪp
rumble,rʌmbʌl
tie up,tiʌp
thrilling,θrɪlɪɳ
genus thymus,dʒɛnjʌsθaɪmʌs
hypersensitive,haɪpɜsɛnsʌtɪv
sulfurous,sʌlfɜʌs
palatopharyngoplasty,pælʌtɑfɜɪɳgʌplæsti
aggregate,ægrʌgeɪt
genus neomys,dʒɛnjʌsnioʊmiz
roundhead,raʊndhɛd
nurseryman,nɜsɜimæn
rush rose,rʌʃroʊz
emulsion,ɪmʌlʃʌn
loose woman,luswʊmʌn
labial pipe,lɑbiɑlpaɪp
treasury secretary,trɛʒɜisɛkrɪtɛri
moulter,moʊltɜ
ipomoea pes-caprae,aɪpoʊmoʊiʌpɛskeɪpreɪ
account for,ʌkaʊntfɔr
family ephippidae,fæmʌliɛfɪpɪdeɪ
wanted notice,wɔntɪdnʌtaɪs
unliterary,ʌnlɪtɜɛri
abominable snowman,ʌbɑmʌnʌbʌlsnoʊmʌn
chicken feed,tʃɪkʌnfid
lutjanus blackfordi,lutjɑnʌsblækfɜdi
gopher hole,goʊfɜhoʊl
megalocyte,mɛgʌloʊsaɪt
blue-flowered,bluflaʊɜd
mitsvah,mɪtsvɑ
upon one's guard,ʌpoʊnoʊnizgɑrd
coggle,kɑgʌl
max weber,mækswɛbɜ
unguided,ʌngaɪdɪd
manilla,mʌnɪlʌ
misinterpret,mɪsɪntɜprʌt
op art,ɑpɑrt
road game,roʊdgeɪm
tibetan terrier,tʌbɛtʌntɛriɜ
dayton,deɪtʌn
arborvirus,ɑrbɜvaɪrʌs
springboard,sprɪɳbɔrd
slezsko,slɛzskoʊ
trento,trɛntoʊ
tennessee williams,tɛnɪsiwɪljʌmz
bottom-up,bɑtʌmʌp
undigested,ʌndaɪdʒɛstɪd
tough luck,tʌflʌk
warren earl burger,wɔrʌnɜlbɜgɜ
conjugally,kɑndʒʌgʌli
schoolroom,skulrum
genus pitymys,dʒinʌspɪtimiz
naemorhedus goral,nɛmɜɛdʒʊsgɔrʌl
apperceive,æpɜsiv
department of history,dɪpɑrtmɛntoʊfhɪstɔri
younger,jʌɳgɜ
pseudoscientific,sudoʊsaɪʌntɪfɪk
mortician,mɔrtɪʃʌn
topiary,toʊpiɛri
ovenware,ʌvʌnwɛr
damascus steel,dʌmæskʌsstil
tolbutamide,toʊlbutʌmaɪd
ripe olive,rɪpiɑlɪv
capital of austria,kæpɪtʌlɔfɔstriʌ
sigmoidal,sɪgmɔɪdʌl
vena supratrochlearis,vɛnʌsuprʌtrɑkliɜɪs
scorpion fish,skɔrpiʌnfɪʃ
placeable,pleɪsʌbʌl
bermudan rig,bɜmjudʌnrɪg
metrics,mɛtrɪks
multilaterally,mʌltɪlætɜʌli
yevgeni aleksandrovich yevtushenko,jɛvgɛniælʌksændroʊvɪtʃjɛvtʌʃɛɳkoʊ
cytotoxin,saɪtoʊtɑksɪn
refereeing,rɛfɜiɪɳ
nurtural,nɜtʃɜʌl
readably,ridʌbli
lower saxony,loʊɜsæksʌni
anthelmintic,ænthɛlmɪntɪk
papaver,pæpʌvɜ
nabokov,næbʌkɑv
cytotoxic,saɪtoʊtɑksɪk
stover,stoʊvɜ
richard august carl emil erlenmeyer,rɪtʃɜdɔgʌstkɑrlʌmaɪlɜlɪnmaɪɜ
tamandua tetradactyla,tɑmɑndʒʌwʌttrʌdæktʌlʌ
zapus,zʌpʌs
signify,sɪgnʌfaɪ
explorer's gentian,ɪksplɔrɜzdʒʌnʃʌn
titanosaur,taɪtʌnʌsɔr
wormhole,wɜmhɔl
succinct,sʌksɪɳkt
fair to middling,fɛrtʌmɪdʌlɪɳ
echidnophaga gallinacea,ɪkɪdnɑfʌgʌgælɪnʌsiʌ
arithmetically,ɛrɪθmɛtɪkli
brutus,brutʌs
upland cotton,ʌplʌndkɑtʌn
loosely,lusli
now now,naʊnaʊ
urticate,ɜtikeɪt
actinoid,æktɪnɔɪd
weissbier,waɪsbiɜ
concordant,kɑnkɔrdʌnt
racketeer,rækɪtɪr
nasopharyngeal,nʌsɑfɜɪndʒiʌl
register,rɛdʒɪstɜ
mary wollstonecraft godwin,mɛriwɑlstoʊnkræftgɑdwɪn
redwing,rɛdwɪɳ
genus chelonia,dʒɛnjʌskɪloʊniʌ
incapacitating,ɪnkʌpæsɪteɪtɪɳ
genus aloe,dʒinʌsɑloʊ
nybble,naɪbʌl
tangier pea,tændʒɪrpiʌ
saintliness,seɪntlinʌs
central processing unit,sɛntælprɔsɛsɪɳgʌnɪt
balkan mountain range,bɔlkʌnmaʊntɪnreɪndʒ
costumier,kɑstumiɜ
fast-footed,fæstfʊtɪd
crowfoot grass,kroʊfʊtgræs
fuck off,fʌkɔf
willfulness,wɪlfʌlnʌs
dubious,dubiʌs
codpiece,kɑdpis
boell,boʊl
benjamin shahn,bɛndʒʌmʌnʃæn
genus cynips,dʒɛnjʌskinɪps
conglomeration,kʌnglɑmɜeɪʃʌn
fruit crush,frutkrʌʃ
gomphrena,gɑmfrinʌ
bastardise,bæstɜdaɪz
propitious,prʌpɪʃʌs
sir james young simpson,sɜjɑmɛsjʌɳsɪmpsʌn
genus balistes,dʒinʌsbʌlɪstiz
cocoa plum,koʊkoʊplʌm
eumeces callicephalus,jumɪtʃɛskʌlɪsɛfʌlʌs
chorionic villus sampling,kɔriɑnɪkvɪlusɑmpʌlɪɳ
moon ray,munreɪ
cytophotometry,saɪtɑfʌtɑmʌtri
work unit,wɜkjunɪt
washington,wɑʃɪɳtʌn
omelette,ɑmlʌt
charles augustus lindbergh,tʃɑrlsɔgʌstʌslɪndbɜg
ismailism,ɪsmeɪlɪzʌm
incendiary,ɪnsɛndiɛri
emulsify,ɪmʌlsʌfaɪ
turban,tɜbʌn
reproductive system,riprʌdʌktɪvsɪstʌm
beer mat,bɪrmæt
universally,junʌvɜsʌli
sea moss,simɔs
counterterror,kaʊntɜtɛrɜ
soldiery,soʊldʒɜi
marbleisation,mɑrbʌlʌzeɪʃʌn
b-meson,bmɪsʌn
american smooth dogfish,ʌmɛrʌkʌnzmuðdɔgfɪʃ
qin shi huang ti,kɪnʃɪhwæɳti
cogged,kɑgd
sandlike,sændlaɪk
willebrand,wɪlɪbrʌnd
blaze away,bleɪzʌweɪ
warehouseman,wɛrhaʊzmʌn
calcium sulphate,kælsiʌmsʌlfeɪt
swallowwort,swɑloʊwɜt
johns hopkins,dʒɑnʃɑpkɪnz
panjandrum,pɑnjɑndrʌm
felt up,fɛltʌp
medical student,mɛdɪkʌlstudʌnt
militaristic,mɪlʌtɜɪstɪk
clemence sophia harned lozier,klɛmʌnsɛsoʊfiʌhɑrnʌdlʌziɜ
referenced,rɛfɜʌnst
quantized,kwɑntaɪzd
attentiveness,ʌtɛntɪvnʌs
cranial cavity,kreɪniɑlkɑvʌti
cox-2 inhibitor,kɑkstuɪnhɪbʌtɜ
vepsian,vɛpsiʌn
bicycle pump,baɪsɪkʌlpʌmp
administrative unit,ʌdmɪnʌstreɪtɪvjunɪt
chimariko,tʃɪmɜɪkoʊ
angelology,eɪɳgɪlɔlʌdʒi
anna mary robertson moses,ænʌmɜɪrɑbɜtsʌnmoʊzʌz
climbing maidenhair fern,klaɪmɪɳmeɪdʌnhɛrfɜn
stictopelia cuneata,stɪktʌpiliækjunitʌ
get the picture,gɛθɪpɪktʃɜ
hodometer,hoʊdɑmʌtɜ
musicologically,mjuzɪkʌlɑdʒɪkli
eject,ɪdʒɛkt
heart-shaped,hɑrtʃeɪpt
prime factor,praɪmfæktɜ
genus lablab,dʒinʌslʌblæb
improvidently,ɪmprɑvɪdʌntli
boehm,boʊm
diaphyseal,daɪʌfʌziʌl
arrow arum,æroʊɜʌm
sponge mop,spʌndʒmɑp
alligatored,ælʌgeɪtɜd
crassostrea,kræsoʊstriʌ
cyanide process,saɪʌnaɪdɪprɔsɛs
maximise,mæksʌmaɪz
rheumatic aortitis,rumætɪkɜtaɪtɪs
star-glory,stɑrglɔri
althea gibson,ælθidʒɪbsʌn
mesentery,mɛsʌntɛri
mighty,maɪti
eastern turki,istɜntɜki
expensively,ɪkspɛnsɪvli
fudge factor,fʌdʒʌfæktɜ
richard errett smalley,rɪtʃɜdɛrɪtsmæli
uncommonly,ʌnkɑmʌnli
chain up,tʃeɪnʌp
anglicisation,æɳlɪsaɪzeɪʃʌn
ipomoea quamoclit,aɪpoʊmoʊiʌkweɪmʌklɪt
drastic,dræstɪk
nunavut,nʊnʌvʌt
phase of the moon,feɪziɔfthmun
inauspiciously,ɪnaʊspɪʃʌsli
grandma moses,grændmɑmoʊzʌz
mycenaean culture,maɪsʌniʌnkʌltʃɜ
thickheaded,θɪkhɛdɪd
spear,spɪr
aerobiosis,ɛroʊbaɪoʊsʌs
sausage balloon,sɔsʌdʒbʌlun
testing ground,tɛstɪɳgraʊnd
provirus,proʊvaɪrʌs
signior,signiɜ
tenacity,tʌnæsɪti
electronic,ɪlɛktrɑnɪk
abele,ʌbɛl
speak,spik
hygrocybe,haɪgrʌsaɪb
gypaetus,dʒɪpitʌs
actinal,æktɪnʌl
linguistic profiling,lɪɳgwɪstɪkproʊfaɪlɪɳ
slugabed,slugɑbɛd
allow for,ʌlaʊfɔr
thrillful,θrɪlfʌl
violet-purple,vaɪʌlʌtpɜpʌl
allspice tree,ɔlspaɪstri
school assignment,skulʌsaɪnmʌnt
reversal,rɪvɜsʌl
nitrobacter,naɪtroʊbæktɜ
flavius theodosius,fleɪviɪsθiʌdoʊsiɪs
feast of the dedication,fistɔfθdɛdʌkeɪʃʌn
signing,saɪnɪɳ
northbound,nɔrθbaʊnd
bastardize,bæstɜdaɪz
painfulness,peɪnfʌlnʌs
duodecimal number system,duʌdɛsʌmælnʌmbɜsɪstʌm
indeterminably,ɪndɪtɜmɪnæbli
meatball,mitbɔl
trip the light fantastic,trɪpθɪlaɪtfæntæstɪk
albuterol,ælbjutɜɔl
municipality,mjunɪsʌpælʌti
beach aster,bikæstɜ
order orchidales,ɔrdɜɔrkʌdeɪlz
emended,ɛmɛndɪd
bicameral,bɪkæmɜʌl
penetrating trauma,pɛnʌtreɪtɪɳtrɔmʌ
soon enough,sunʌnʌf
alpha-naphthol,ælfʌnæfθɔl
cataphatism,kʌtæfʌtɪzʌm
schnorkel,ʃnɔrkʌl
hundred-and-fortieth,hʌndrʌdændfɔrtiɪθ
nonsynchronous,nɑnsɪɳkrʌnʌs
tundra swan,tʌndrʌswɑn
separable,sɛpɜʌbʌl
genus hypoderma,dʒɛnjʌʃaɪpʌdɜmʌ
amniote,æmnioʊt
golden wonder millet,goʊldʌnwɑndɜmʌleɪ
pull up stakes,pʊlʌpsteɪks
subduable,sʌbduʌbʌl
amniota,æmniɔtʌ
andrija mohorovicic,ɑndrijɑmoʊhɔrʌvɪtʃɪk
microcosmic salt,maɪkrʌkɑzʌmɪksɔlt
genus plagianthus,dʒɛnjʌspleɪdʒiʌnθuz
genus hylocereus,dʒɛnjʌʃʌloʊtʃɛriʌs
indeterminable,ɪndɪtɜmʌnʌbʌl
dog house,dɔghaʊs
separably,sɛpɜʌbli
derris elliptica,dɛrɪseɪlɪptɪkʌ
duc de sully,dʌkdizʌli
crash barrier,kræʃbæriɜ
passive resistance,pæsɪvrɪzɪstʌns
uranium,jɜeɪniʌm
withholding tax,wɪθhoʊldɪɳtæks
warragal,wɔrʌgʌl
tamias,teɪmiʌz
soudan,saʊdʌn
central office,sɛntrʌlɔfʌs
crown fire,kraʊnfaɪɜ
poenology,pɑinɑlʌdʒi
scentless hayweed,sɛntlɪsheɪwid
turbid,tɜbɪd
negatively,nɛgʌtɪvli
on the spur of the moment,ɑnθɪspɜɔfθʌmɑmʌnt
incurvate,ɪnkɜvʌt
lycopus americanus,laɪkʌpusʌmɛrʌkʌnʌs
transept,trænzɛpt
hip pocket,hɪpʌkɪt
excursus,ɪkskɜsʌs
head cabbage,hɛdkæbɪdʒ
refrigerating,rɪfrɪdʒɜeɪtɪɳ
metrify,mɛtrʌfaɪ
wayne gretzky,weɪnɪgrɛtski
proprietorship certificate,prʌpraɪʌtɜʃɪpsɜtʌfʌkeɪt
road gang,roʊdgæɳ
family burmanniaceae,fæmʌlibɜmʌniæseɪɑ
moderatorship,mɑdɜeɪtɜʃɪp
by no means,bɪnoʊminz
sulfisoxazole,sʌlfaɪsɑksʌzoʊl
refrigeration,rɪfrɪdʒɜeɪʃʌn
chitinous,kaɪtʌnʌs
bulk large,bʌlklɑrdʒ
squirreltail grass,skwɜʌlteɪlgræs
unhallowed,ʌnhæloʊd
pelargonium graveolens,pɛlɑrgoʊniʌmgrɑvioʊlʌnz
reversed,rɪvɜst
rye ergot,raɪɜgʌt
as much as possible,æzmʌtʃʌspɑsʌbʌl
severed,sɛvɜd
spying,spaɪɪɳ
answerableness,ænsɜʌbʌlnʌs
leptomeninges,lɛptʌmɛnʌndʒɪz
green alder,grinʌldɜ
kilocycle,kɪlʌsaɪkʌl
satellite receiver,sætʌlaɪtrɪsivɜ
neoplasia,nioʊpleɪʒʌ
genus alca,dʒɛnjʌsælkʌ
cytophotometer,saɪtɑfʌtɑmɪtɜ
maximize,mæksʌmaɪz
cleavage,klivʌdʒ
biddable,bɪdʌbʌl
oxford movement,ɑksfɜdmuvmʌnt
construe,kʌnstru
fireboat,faɪɜboʊt
handsaw fish,hændsɔfɪʃ
salic law,sælɪklɔ
tillich,tɪlɪk
heavyhearted,hɛvihɑrtɪd
nothofagus menziesii,nɑθoʊfʌgʌsmɛnzizi
seaward,siwɜd
hellenistical,hɛlʌnɪstɪkʌl
semi-formal,sɛmifɔrmʌl
nicholas,nɪkʌlʌs
reentering polygon,riɪntɜɪɳpɑlɪgɑn
bufo calamita,bjufoʊkælʌmitʌ
family pectinidae,fʌmɪlipɛktɪnɪdeɪ
feria,fɛriʌ
darier's disease,dɑrieɪzdɪziz
spirits,spɪrɪts
vena scapularis dorsalis,vɛnʌskæpjʌlɛrʌsdɔrsʌlɪs
sydenham,sɪdɪnhʌm
graspable,græspʌbʌl
malaysian monetary unit,mʌleɪʒʌnmɑnʌtɛriʌnɪt
get on with,gɛtʌnwɪθ
participation financing,pɑrtɪsʌpeɪʃʌnfʌnænsɪɳ
respiratory syncytial virus,rɛspɜʌtɔrisɪɳkitʃʌlvaɪrʌs
brugmansia,brʌgmʌnsiʌ
tracheid,treɪkiɪd
fuzziness,futzinʌs
shtickl,ʃtɪkl
unapproachable,ʌnʌproʊtʃʌbʌl
parietal gyrus,pɜaɪʌtʌldʒirʌs
coeducation,koʊɛdʒʌkeɪʃʌn
chrysochloridae,krɪsɑklɔraɪdeɪ
rough bristlegrass,raʊbrɪsʌlgræs
king james i,kɪɳjɑmɛsi
pudgy,pʌdʒi
petrocoptis,pɛtroʊkɑptʌs
overwinter,oʊvɜwɪntɜ
bad-mannered,bædmænɜd
troubleshooter,trʌbʌlʃutɜ
